time,symbol,signal,action,price,equity,lots,sl_pips,tp_pips,order_result
2025-12-01 21:13:14.029670,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:13:44.055774,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:14:14.091361,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:14:44.136945,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:15:14.205206,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:15:44.241478,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:16:14.266524,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:16:44.296358,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:17:14.327758,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:17:44.358092,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:20:44.425494,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:21:14.473771,USDJPYm,-1,SELL,155.439,10023.74,0.01,40,2,"OrderSendResult(retcode=10009, deal=1578014310, order=2017117955, volume=0.01, price=155.439, bid=155.439, ask=155.457, comment='Phase4_Bot', request_id=4171122796, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.439, stoplimit=0.0, sl=155.839, tp=155.41899999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 21:21:44.874115,USDJPYm,-1,SELL,155.433,10023.34,0.01,40,2,"OrderSendResult(retcode=10009, deal=1578015915, order=2017119535, volume=0.01, price=155.433, bid=155.433, ask=155.451, comment='Phase4_Bot', request_id=4171122797, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.433, stoplimit=0.0, sl=155.833, tp=155.41299999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
